ranker|game_season|date_game|game_location|opp_id|game_result|pts|opp_pts|fg|fga|fg_pct|fg3|fg3a|fg3_pct|ft|fta|ft_pct|orb|trb|ast|stl|blk|tov|pf|x|opp_fg|opp_fga|opp_fg_pct|opp_fg3|opp_fg3a|opp_fg3_pct|opp_ft|opp_fta|opp_ft_pct|opp_orb|opp_trb|opp_ast|opp_stl|opp_blk|opp_tov|opp_pf|
1|1|2014-11-18||Cairn|W|88|61|29|55|.527|5|16|.313|25|48|.521|13|33|15|13|5|17|23||21|49|.429|1|6|.167|18|26|.692|5|25|8|9|1|27|31
2|2|2014-11-20|@|Texas Christian|L|71|86|19|41|.463|5|9|.556|28|37|.757|8|24|12|2|3|13|23||30|53|.566|6|11|.545|20|30|.667|11|27|19|5|4|7|24
3|3|2014-11-28|@|Texas A&M|L|65|87|19|51|.373|6|14|.429|21|27|.778|10|30|10|5|1|17|19||33|63|.524|9|21|.429|12|19|.632|8|32|22|6|7|10|21
4|4|2014-11-30|@|Denver|L|60|79|23|54|.426|2|8|.250|12|18|.667|12|35|6|4|1|15|17||29|53|.547|9|24|.375|12|17|.706|5|25|23|7|3|8|20
5|5|2014-12-06||Crowley's Ridge|W|100|85|37|66|.561|4|13|.308|22|29|.759|7|31|16|13|6|15|23||28|63|.444|13|28|.464|16|21|.762|12|32|14|3|3|21|22
6|6|2014-12-13|@|San Diego|L|60|85|21|49|.429|2|10|.200|16|27|.593|5|21|6|5|2|14|18||28|54|.519|9|21|.429|20|26|.769|7|36|13|9|1|9|24
7|7|2014-12-19|@|Southern Illinois|W|56|52|19|40|.475|4|12|.333|14|14|1.000|7|21|8|11|1|17|12||18|39|.462|2|12|.167|14|18|.778|6|19|9|11|2|15|14
8|8|2014-12-22|@|Indiana|L|59|79|27|68|.397|1|13|.077|4|12|.333|11|33|9|7|3|8|25||29|53|.547|7|21|.333|14|24|.583|7|37|15|3|7|12|14
9|9|2014-12-30||Central Baptist|W|90|60|31|59|.525|3|10|.300|25|39|.641|12|48|8|9|10|19|24||23|58|.397|2|13|.154|12|28|.429|5|22|7|11|1|16|30
10|10|2015-01-05||Lamar|W|72|67|23|51|.451|5|16|.313|21|31|.677|13|36|11|12|2|22|19||23|56|.411|5|23|.217|16|24|.667|13|27|6|8|5|16|27
11|11|2015-01-10||Sam Houston State|L|62|68|23|59|.390|1|11|.091|15|22|.682|5|28|9|6|5|10|22||24|55|.436|4|14|.286|16|24|.667|8|40|4|2|7|15|25
12|12|2015-01-12|@|Incarnate Word|L|66|97|22|56|.393|3|8|.375|19|29|.655|9|23|10|6|3|11|20||35|57|.614|12|22|.545|15|22|.682|8|34|14|5|9|12|18
13|13|2015-01-17|@|Houston Baptist|L|73|74|21|55|.382|5|9|.556|26|35|.743|11|31|5|8|6|14|28||22|59|.373|3|8|.375|27|37|.730|20|45|8|8|5|16|27
14|14|2015-01-19|@|Stephen F. Austin|L|54|79|19|43|.442|2|5|.400|14|19|.737|8|21|11|8|1|22|18||31|49|.633|6|14|.429|11|17|.647|9|27|24|7|4|17|23
15|15|2015-01-24||Texas A&M-Corpus Christi|L (1 OT)|67|71|22|60|.367|3|11|.273|20|29|.690|11|32|5|6|0|16|25||26|52|.500|6|16|.375|13|29|.448|9|37|6|7|2|14|25
16|16|2015-01-26||Central Arkansas|W|87|67|32|53|.604|5|13|.385|18|33|.545|7|27|19|11|1|22|28||19|48|.396|5|16|.313|24|38|.632|10|25|10|11|3|25|24
17|17|2015-01-31|@|McNeese State|L|61|68|21|55|.382|4|18|.222|15|24|.625|11|35|11|4|3|17|17||27|60|.450|3|15|.200|11|14|.786|7|26|15|13|4|9|16
18|18|2015-02-02|@|Nicholls State|L|55|67|16|38|.421|1|7|.143|22|33|.667|8|23|4|9|3|22|27||25|44|.568|4|12|.333|13|31|.419|10|25|15|10|4|19|29
19|19|2015-02-07|@|Central Arkansas|L|67|70|27|75|.360|1|7|.143|12|17|.706|15|36|6|10|6|14|21||24|48|.500|4|9|.444|18|26|.692|4|34|10|9|7|22|20
20|20|2015-02-09||McNeese State|W|81|71|27|46|.587|5|8|.625|22|29|.759|5|27|9|6|5|15|10||26|60|.433|9|24|.375|10|15|.667|12|25|9|10|1|12|23
21|21|2015-02-16|@|Texas A&M-Corpus Christi|L|53|55|21|63|.333|4|14|.286|7|15|.467|15|33|8|7|1|6|16||22|45|.489|4|10|.400|7|13|.538|7|30|13|3|6|15|14
